A,,
Alabama Shakes,Boys and Girls,
Alabama Shakes,Sound and Color,
Alt-J,An Awesome Wave,
Atmosphere,"When Life Gives You Lemons, You Paint That Shit Gold",
B,,
The Beatles,Abbey Road,
Billy Joel ,Piano Man,
Bob Dylan,Street Legal,
Bob Seger & The Silver Bullet Band,Against the Wind,
The Brothers Four,The Brothers Four,
The Brothers Four,Sing of Our Times,
The Brothers Four,Try to Remember,
Bryson Tiller,Trapsoul,
Buena Vista Social Club,Buena Vista Social Club,
The Buffalo Bills,Happy Days,
The Buffalo Bills,Together with The Buffalo Bills,
C,,
Carly Simon,Another Passenger ,
Carly Simon,The Best of Carly Simon,
Carole King,Tapestry ,
Cat Stevens ,Tea for the Tillerman,
Cat Stevens ,Teaser and the Firecat,
Chicago,Chicago I/II,
Chicago,Chicago VIII,
Chicago,Chicago X,
Chicago,Chicago Transit Authority,
Chuck Mangione ,Feels So Good,
D,,
Dan Fogelberg,Captured Angel,
Dan Fogelberg,High Country Snows,
Dan Fogelberg,Homefree,
Dan Fogelberg,Souvenirs,
Dan Fogelberg,Windows and Walls,
Dan Fogelberg & Tim Weisberg,Twin Sons of Different Mothers,
The Dave Brubeck Quartet,Time Out,
The Dave Brubeck Quartet ft. Gerry Mulligan,The Last Set at Newport,
Diahann Carroll and the Andre Previn Trio,Porgy and Bess,
Donna Summer,Donna Summer,
Donna Summer,I Remember,
Donna Summer,Live and More Donna Summer,
Donna Summer,Once Upon a Time,
Donna Summer,The Wanderer,
E,,
The Eagles,Eagles Live,
The Eagles,Greatest Hits,
The Eagles,Hotel California (Original Recording),
The Eagles,Hotel California (New Pressing),
Ella Fitzgerald,Sings the Cole Porter Song Book,
Elvis Presley ,Elvis As Recorded At Madison Square Garden,
Elvis Presley ,Frankie & Johnny,
The Emotions,Flowers,
Eric Clapton,Backless ,
F,,
The Family Crest,Beneath the Brine,
Fats Domino,When My Dreamboat Coes Home,
Flume,Flume ,
Foghat,Stone Blue,
Foreinger ,4,
Frank Sinatra,Sinatra at the Sings (in below),
Frank Sinatra,Sinatra Sings of love and things,
Frank Sinatra,Sinatra & Strings,
G,,
Greg Fisherman,New Journey,
H,,
Haim,Days are Gone,
Harry Bellafonte,Calypso ,
Herb Alpert and the Tijuana Brass,The Beat of the Brass,
Herb Alpert and the Tijuana Brass,Foursider,
Herb Alpert and the Tijuana Brass,Going Places,
Herb Alpert and the Tijuana Brass,Sounds Like,
Herb Alpert and the Tijuana Brass,South of the Border,
Herb Alpert and the Tijuana Brass,SRO,
Herb Alpert and the Tijuana Brass,What Now My Love,
Hoagy Carmichael,A Legendary Performer & Composer,
Hoagy Carmichael,Spirit,
K,,
Kendrick Lamar,"good kid, m.A.A.d city",
King Cole Trio,Volume 4,
L,,
Lianne La Havas,Blood,
Louis Armstrong,The Genuis of Louis Armstrong Volume 1,
Louis Armstrong,"Hello, Dolly! ",
Louis Armstrong,Here's Louis Armstrong,
M,,
The Mills Brothers,Merry Christmas ,
The Mills Brothers,16 Great Performances,
Modest Mouse,Good News for the Poeple Who Love Bad News,
Mumford and Sons,Sigh No More,
N,,
Nancy Wilson,Hello Young Lover,
Nancy Wilson,Son of a Preacher Man ,
Nancy Wilson & Cannonball Adderley,Nancy Wilson & Cannonball Adderley ,
Nat King Cole,A Blossom Fell,
Nat King Cole,A Tribute to Nat King Cole Part 2,
Nat King Cole,The Best of Nat King Cole,
Nat King Cole,Dear Lonely Hearts,
Nat King Cole,Greatest!,
Nat King Cole,I Don't Want To Be Hurt Anymore,
Nat King Cole,Just One of Those Things,
Nat King Cole,L.O.V.E,
Nat King Cole,Let's Face the Music!,
Nat King Cole,Looking Back,
Nat King Cole,Love is a Many Splendored Thing,
Nat King Cole,Love is the Thing,
Nat King Cole,Love is the Thing (Extended),
Nat King Cole,Nat King Cole at the Sands,
Nat King Cole,Nat King Cole Sings His Songs From Cat Ballou,
Nat King Cole,Nat King Cole sings/George Shearing plays,
Nat King Cole,"Nat King Cole, Phil Flowers, Sings",
Nat King Cole,Ramblin' Rose,
Nat King Cole,"Sincerly, Nat King Cole",
Nat King Cole,Sings Balads of the Day,
Nat King Cole,Stay As Sweet as You Are,
Nat King Cole,To whom it may concern,
Nat King Cole,Unforgettable ,
Nat King Cole,When You're Smiling,
Neil Young,A Letter Home,
Neil Young,After the Gold Rush (No Cover),
O,,
Olafur Arnalds,...and they have escaped the weight of darkness ,
Olafur Arnalds and Nils Frahm,An Evening With Olafur Arnalds and Nils Frahm,
P,,
Paul Anka ,Paul Anka Sings His Big 15,
The Preachers,Blue Planet Eyes,
Purity Ring,Another Eternity ,
R,,
Ramsey Lewis,Don't It Feel Good,
The Righteous Brothers,The Righteous Brothers,
Rodgers and Hammerstein ,Fiddler on the Roof,
Rodgers and Hammerstein ,Oklahoma,
Rodgers and Hammerstein ,The Sound of Music ,
Roger Williams ,Songs of The Fabulous Forties,
Ryan Hemsworth ,Guilt Trips,
S,,
Sam Smith,In the Lonely Hour,
Santana,Santana,
The Schmitt Brothers,Round the Striped Pole ,
Sergio Mendes & Brasil '66,Herb Alpert Presents,
Smokey Robinson and the Miracles ,Special Occasion ,
The Steve Miller Band,Greatest Hits 1974 - 78,
Sviatoslav Richter,Moussorgsky: Pictures at an Exhibition,
T,,
Tony Bennett,I Left My Heart in San Fransisco,
Tweedy,Sukierae ,
V,,
Various,The Spirit of Christmas,
Various: Soundtrack,The Big Chill,
The Vicksburg Quartet,The King is Coming,
W,,
War,All Day Music,
Wilco ,Yankee Hotel Foxtrot,
Wolfang Amadeus Mozart,Symphony's,
X,,
The xx,Coexist ,
The xx,I See You,
The xx,The xx,
"7""",,
Alabama Shakes,Heavy Chevy,Pocket Change + Mama
The Beach Boys,"Fun, Fun, Fun",Why Do Fools Fall In Love
Bill Withers,Ain't No Sunshine,Harlem
Cat Stevens,Where Do The Children Play,Peace Train
Creedence Clearwater Revival,Up Around the Bend,Run Through the Jungle
Marvin Gay,God is Love,Whats Goin On
Van Morrison,Goodbye Baby,Brown Eyed GIrl